종목명,날짜,지분율(퍼센트)
(주)원익큐엔씨,2022-12-15,7.57
효성화학,2022-12-15,7.92
현대건설기계(주),2022-12-16,8.06
현대위아(주),2022-12-19,9.73
(주)동원F&B,2022-12-20,5.04
파미셀(주),2022-12-20,6.14
삼양식품(주),2022-12-20,9.51
(주)아모레퍼시픽그룹,2022-12-21,7.02
(주)성광벤드,2022-12-21,5.16
진에어,2022-12-22,7.31
현대건설(주),2022-12-22,8.46
(주)지누스,2022-12-22,5.01
(주)에스에프에이,2022-12-22,6.38
코스모화학(주),2022-12-23,5.06
(주)유니드비티플러스,2022-12-23,3.71
대한유화(주),2022-12-27,10.42
엘지이노텍(주),2022-12-27,9.04
현대일렉트릭앤에너지시스템,2022-12-27,12.36
주식회사 레고켐바이오사이언스,2022-12-28,5.09
덴티움,2022-12-28,8.36
(주)제주항공,2022-12-28,6.04
(주)화승엔터프라이즈,2022-12-28,8.58
(주)하나투어,2022-12-28,6.52
한올바이오파마(주),2022-12-29,8.35
(주)호텔신라,2022-12-29,10.67
코스모신소재(주),2022-12-29,7.31
피에스케이(주),2022-12-29,8.04
한국전력공사(주),2022-12-29,7.14
OCI(주),2023-01-02,8.25
(주)LG유플러스,2023-01-02,7.35
(주)포스코인터내셔널,2023-01-02,7.08
에스케이디스커버리(주),2023-01-03,4.23
효성화학,2023-01-03,6.87
(주)케이티스카이라이프,2023-01-04,5
(주)케이티앤지,2023-01-05,7.03
에스케이오션플랜트(주),2023-01-05,3.89
대한유화(주),2023-01-09,11.52
롯데케미칼(주),2023-01-09,8.73
(주)테이팩스,2023-01-09,4.41
멕아이씨에스,2023-01-10,5.05
(주)엠씨넥스,2023-01-12,5.02
현대일렉트릭앤에너지시스템,2023-01-12,13.38
씨제이프레시웨이(주),2023-01-13,3.98
엘지디스플레이(주),2023-01-13,4.32
코리안리재보험(주),2023-01-17,8.05
(주)영풍,2023-01-17,4
덴티움,2023-01-18,9.52
(주)하나투어,2023-01-19,8.67
(주)인터로조,2023-01-19,11.65
CJ제일제당(주),2023-01-19,11.85
롯데관광개발(주),2023-01-20,6.07
대주전자재료(주),2023-01-25,4.05
(주)에프앤에프,2023-01-25,8.38
대우조선해양(주),2023-01-26,5.03
(주)한국카본,2023-01-26,5.18
(주)유한양행,2023-01-27,9.75
현대모비스(주),2023-01-30,8.5
SK바이오팜,2023-01-30,6.02
(주)제주항공,2023-01-31,8.11
현대글로비스(주),2023-01-31,8.88
삼성화재해상보험(주),2023-01-31,7.71
롯데케미칼(주),2023-02-01,7.42
우리금융지주,2023-02-01,6.84
메리츠화재해상보험(주),2023-02-01,0
(주)JB금융지주,2023-02-03,7.17
(주)더존비즈온,2023-02-03,6.16
(주)신세계푸드,2023-02-06,6.11
엘에스일렉트릭,2023-02-07,11.94
ESR켄달스퀘어리츠,2023-02-09,5.01
현대두산인프라코어,2023-02-10,9.39
진에어,2023-02-10,10.56
(주)씨앤씨인터내셔널,2023-02-10,5.15
(주)제일기획,2023-02-13,9.21
(주)현대그린푸드,2023-02-14,6.78
키움증권(주),2023-02-14,11.32
(주)인텍플러스,2023-02-14,3.98
삼양식품(주),2023-02-15,11.52
롯데정보통신,2023-02-15,6.04
하이록코리아(주),2023-02-17,4.99
동성화인텍,2023-02-17,5.03
쏘카,2023-02-20,5.05
팬오션(주),2023-02-20,8.16
한화솔루션(주),2023-02-21,8.84
(주)에스엠엔터테인먼트,2023-02-21,4.32
엘지디스플레이(주),2023-02-22,5.02
롯데쇼핑(주),2023-02-22,5
(주)두산,2023-02-22,12.73
솔루스첨단소재,2023-02-22,6.22
(주)종근당홀딩스,2023-02-23,6.42
콘텐트리중앙,2023-02-24,10.95
금호석유화학(주),2023-02-24,7.51
(주)케이티,2023-02-27,8.53
에스티팜(주),2023-02-27,6.09
한솔제지(주),2023-02-28,6.54
한국가스공사(주),2023-02-28,7.85
(주)케이씨텍,2023-02-28,5.86
그랜드코리아레저(주),2023-02-28,9.99
(주)한진칼,2023-03-02,5.01
(주)나노신소재,2023-03-03,4.08
인텔리안테크,2023-03-06,6.13
에이치에스디엔진(주),2023-03-06,4
코웨이(주),2023-03-06,6.46
(주)현대미포조선,2023-03-06,6.91
코스모신소재(주),2023-03-06,7.17
율촌화학(주),2023-03-07,6.06
효성중공업,2023-03-07,7.03
한미반도체(주),2023-03-07,7.58
(주)원익큐엔씨,2023-03-07,6.54
(주)신세계인터내셔날,2023-03-07,9.23
한세실업(주),2023-03-07,10.06
(주)와이지-원,2023-03-07,3.96
드림텍,2023-03-08,5.05
(주)다우기술,2023-03-08,4.06
(주)제이와이피엔터테인먼트,2023-03-08,5.07
현대로템(주),2023-03-09,6.01
(주)엔씨소프트,2023-03-09,7.32
넥센타이어(주),2023-03-10,7.07
(주)원익머트리얼즈,2023-03-13,6.5
SK(주),2023-03-13,7.45
동아쏘시오홀딩스(주),2023-03-14,12.51
(주)BNK금융지주,2023-03-14,8.47
레이,2023-03-14,7.14
한국전력기술(주),2023-03-15,7.47
현대에너지솔루션,2023-03-16,4.62
피아이첨단소재(주),2023-03-16,8.48
효성티앤씨,2023-03-17,9.77
(주)천보,2023-03-17,3.96
솔루엠,2023-03-17,6.02
(주)유니드,2023-03-17,9.9
아이에스동서(주),2023-03-21,6.04
대한해운(주),2023-03-21,6.02
LX인터내셔널,2023-03-21,6.51
(주)대웅제약,2023-03-21,9.15
(주)파크시스템스,2023-03-22,4.04
(주)유진테크,2023-03-22,6.05
(주)한샘,2023-03-23,5.35
덕산네오룩스(주),2023-03-23,5.02
(주)아프리카티비,2023-03-23,8.49
(주)와이지엔터테인먼트,2023-03-24,9.41
코스맥스(주),2023-03-24,12.2
더네이쳐홀딩스,2023-03-24,3.95
현대건설기계(주),2023-03-27,7.06
(주)엘앤에프,2023-03-28,4
(주)메리츠금융지주,2023-03-28,7.77
한미사이언스(주),2023-03-28,7.09
티와이홀딩스,2023-03-28,7.28
(주)에스앤에스텍,2023-03-29,5.03
대신증권(주),2023-03-29,4.28
동원시스템즈(주),2023-03-30,4.99
두산밥캣(주),2023-03-30,7.12
(주)DGB금융지주,2023-03-31,8.78
SK네트웍스(주),2023-03-31,6.43
한화갤러리아(주),2023-03-31,5.21
(주)풍산,2023-04-03,9.21
(주)두산테스나,2023-04-03,8.41
오씨아이홀딩스,2023-04-04,9.27
(주)현대백화점,2023-04-04,6.93
(주)강원랜드,2023-04-05,6.06
메리츠증권(주),2023-04-05,0
(주)인텍플러스,2023-04-06,5.08
(주)에스원,2023-04-06,6.03
한화에어로스페이스(주),2023-04-06,9.12
(주)클리오,2023-04-07,5
신한금융지주회사,2023-04-11,7.76
(주)아프리카티비,2023-04-12,7.41
효성첨단소재,2023-04-13,9.47
(주)제이와이피엔터테인먼트,2023-04-13,4
레고켐바이오사이언스,2023-04-14,6.21
(주)유니드,2023-04-14,8.83
그랜드코리아레저(주),2023-04-14,11.06
(주)신세계,2023-04-14,12.59
에이비엘바이오(주),2023-04-17,5.06
㈜아모그린텍,2023-04-19,4.2
KG스틸,2023-04-19,5
대우조선해양(주),2023-04-20,6.04
코오롱인더스트리(주),2023-04-20,6.71
(주)화승엔터프라이즈,2023-04-20,7.5
동성화인텍,2023-04-20,6.04
롯데관광개발(주),2023-04-20,5.03
(주)원익큐엔씨,2023-04-24,7.55
티케이지휴켐스,2023-04-24,8.1
세아베스틸지주,2023-04-25,6.1
두산에너빌리티,2023-04-25,6.55
한화시스템,2023-04-26,7
(주)케이티스카이라이프,2023-04-27,3.99
에이치디현대건설기계,2023-04-27,8.13
에이치디현대인프라코어,2023-04-27,10.44
효성화학,2023-04-27,5.73
엘지이노텍(주),2023-04-27,10.13
하이트진로(주),2023-04-28,5.7
쿠쿠홈시스,2023-05-03,7.14
동아쏘시오홀딩스(주),2023-05-03,11.5
한세실업(주),2023-05-04,7.98
한화갤러리아(주),2023-05-04,4.07
현대코퍼레이션,2023-05-08,6.02
(주)에스앤에스텍,2023-05-09,6.31
대한유화(주),2023-05-09,10.46
(주)대웅,2023-05-10,4
에스엘(주),2023-05-12,8.26
(주)인터로조,2023-05-15,10.62
(주)화신,2023-05-17,6.28
엘지이노텍(주),2023-05-17,11.16
진에어,2023-05-18,9.37
SKC(주),2023-05-18,7.37
대동,2023-05-19,5.02
한올바이오파마(주),2023-05-19,9.6
삼성중공업(주),2023-05-23,7.04
서진시스템,2023-05-24,4.29
대우조선해양(주),2023-05-24,3.16
코스맥스(주),2023-05-25,13.23
인탑스(주),2023-05-25,6.05
(주)케이씨씨,2023-05-26,8.02
(주)포스코인터내셔널,2023-05-26,5.9
(주)제이브이엠,2023-05-26,4.21
(주)하이브,2023-05-30,7.63
(주)SBS,2023-05-31,14.74
(주)LG유플러스,2023-06-01,6.35
(주)아모텍,2023-06-01,6.48
피에이치에이(주),2023-06-01,5.03
(주)하나투어,2023-06-02,7.41
에스케이아이이테크놀로지(주,2023-06-02,6.11
세아제강지주,2023-06-08,6.06
(주)현대지에프홀딩스,2023-06-09,5.73
한솔제지(주),2023-06-12,5.52
하나머티리얼즈,2023-06-12,6.08
(주)태광,2023-06-12,7.04
(주)호텔신라,2023-06-12,9.42
에이치디한국조선해양,2023-06-12,6.8
(주)신세계인터내셔날,2023-06-12,7.08
(주)이마트,2023-06-13,7.9
(주)지에스,2023-06-13,6.34
(주)이녹스첨단소재,2023-06-13,5.08
(주)현대그린푸드,2023-06-13,4.8
솔루엠,2023-06-14,8.06
(주)아모레퍼시픽,2023-06-14,6.35
레이,2023-06-14,6.43
에이치에스디엔진(주),2023-06-14,6.11
(주)대웅제약,2023-06-14,8.12
하나마이크론(주),2023-06-15,5.03
피아이첨단소재(주),2023-06-15,9.56
(주)아이에스시,2023-06-15,6.15
(주)이오테크닉스,2023-06-15,5.18
한전KPS(주),2023-06-15,11.49
동국씨엠(주),2023-06-16,5.3
동국홀딩스,2023-06-16,5.41
(주)효성,2023-06-16,6.63
동국제강,2023-06-16,5.39
비나텍(주),2023-06-16,6.23
삼성SDI(주),2023-06-16,7.53
(주)후성,2023-06-16,6.24
(주)씨앤씨인터내셔널,2023-06-19,8.49
(주)엔씨소프트,2023-06-19,6.28
오씨아이(주),2023-06-19,7.4
효성중공업,2023-06-20,11.21
하이록코리아(주),2023-06-20,6.04
한국콜마(주),2023-06-20,11.64
(주)두산,2023-06-20,11.7
두산밥캣(주),2023-06-21,8.33
콘텐트리중앙,2023-06-21,6.54
(주)엠씨넥스,2023-06-22,3.99
피에스케이(주),2023-06-23,6.04
대덕전자(주),2023-06-23,11.62
(주)엘엑스세미콘,2023-06-23,7.22
(주)아모레퍼시픽그룹,2023-06-26,6.02
에스티팜(주),2023-06-27,5.07
LX인터내셔널,2023-06-28,8.55
(주)이수페타시스,2023-06-28,9.87
(주)원익머트리얼즈,2023-06-28,7.6
티이엠씨(주),2023-06-28,7.58
엘에스일렉트릭,2023-06-28,12.97
(주)세아제강,2023-06-29,6.14
해성디에스(주),2023-06-29,10.41
대상(주),2023-06-29,11.53
(주)에코앤드림,2023-06-29,6.33
(주)와이지엔터테인먼트,2023-06-29,7.12
씨에스윈드(주),2023-06-29,12.22
코스모신소재(주),2023-06-30,5.12
(주)LG생활건강,2023-06-30,6.99
(주)코스메카코리아,2023-07-03,6.17
현대로템(주),2023-07-04,7.03
한국콜마(주),2023-07-06,12.66
에이치디씨현대산업개발,2023-07-06,5.49
하이록코리아(주),2023-07-07,7.11
(주)현대미포조선,2023-07-10,7.96
(주)현대지에프홀딩스,2023-07-11,4.72
대한유화(주),2023-07-11,9.39
콘텐트리중앙,2023-07-11,4.52
효성중공업,2023-07-11,12.24
(주)JB금융지주,2023-07-11,6.14
(주)강원랜드,2023-07-12,5.04
(주)대한항공,2023-07-12,7.32
(주)지에스리테일,2023-07-12,8.96
(주)이마트,2023-07-12,6.87
(주)인텍플러스,2023-07-14,6.18
삼성중공업(주),2023-07-17,8.05
(주)유진테크,2023-07-17,4.86
디엔오토모티브,2023-07-18,5.01
(주)대웅제약,2023-07-20,7.1
(주)에프앤에프,2023-07-20,7.33
(주)이녹스첨단소재,2023-07-20,6.34
(주)인터로조,2023-07-24,9.6
동국홀딩스,2023-07-25,4.38
(주)케이씨텍,2023-07-25,4.84
하이트진로(주),2023-07-25,4.67
(주)한화,2023-07-25,7.61
(주)파크시스템스,2023-07-26,5
(주)유한양행,2023-07-27,10.8
