기준년월,구분,기간수익률,연환산수익률,전년도수익률,전년도수익금,3개년수익률,3개년수익금,5개년수익률,5개년수익금,설정후수익률,설정후수익금
2024-07,기타부문,0.95,1.64,2.09,28,1.22,50,,,1.48,269
2024-07,복지부문,1.41,1.45,0.94,2,-0.46,-3,,,5.74,601
2024-08,금융부문(국내주식),3.78,3.78,22.12,27438,0.21,957,,,6.53,105064
2024-08,금융부문(국내채권),3.21,4.08,7.4,24492,0.15,1519,,,3.61,175606
2024-08,금융부문(단기자금),2.8,2.8,4.23,181,1.63,197,,,3.18,1767
2024-08,금융부문(대체투자),5.49,5.49,5.8,8833,11.39,42870,,,9.28,88122
2024-08,금융부문(전체),8.77,9.09,13.61,126686,5.04,138331,,,5.88,558047
2024-08,금융부문(해외주식),19.22,19.22,23.89,59907,11.96,85556,,,11.04,167506
2024-08,금융부문(해외채권),6.89,7.54,8.84,6087,3.47,6526,,,4.02,19886
2024-08,기금 전체,8.76,9.08,13.59,126715,5.04,138378,,,5.92,577999
2024-08,기타부문,1.08,1.62,2.09,28,1.22,50,,,1.48,269
2024-08,복지부문,1.62,1.65,0.94,2,-0.46,-3,,,5.74,601
2024-09,금융부문(국내주식),0.46,0.46,22.12,27438,0.21,957,,,6.53,105064
2024-09,금융부문(국내채권),4.09,4.75,7.4,24492,0.15,1519,,,3.61,175606
2024-09,금융부문(단기자금),2.99,2.99,4.23,181,1.63,197,,,3.18,1767
2024-09,금융부문(대체투자),5.05,5.05,5.8,8833,11.39,42870,,,9.28,88122
2024-09,금융부문(전체),9.19,9.44,13.61,126686,5.04,138331,,,5.88,558047
2024-09,금융부문(해외주식),21.35,21.35,23.89,59907,11.96,85556,,,11.04,167506
2024-09,금융부문(해외채권),6.97,7.47,8.84,6087,3.47,6526,,,4.02,19886
2024-09,기금 전체,9.18,9.42,13.59,126715,5.04,138378,,,5.92,577999
2024-09,기타부문,1.23,1.64,2.09,28,1.22,50,,,1.48,269
2024-09,복지부문,1.83,1.86,0.94,2,-0.46,-3,,,5.74,601
2024-10,금융부문(국내주식),-0.87,-0.87,22.12,27438,0.21,957,,,6.53,105064
2024-10,금융부문(국내채권),3.96,4.4,7.4,24492,0.15,1519,,,3.61,175606
2024-10,금융부문(단기자금),4.33,4.33,4.23,181,1.63,197,,,3.18,1767
2024-10,금융부문(대체투자),8.9,8.9,5.8,8833,11.39,42870,,,9.28,88122
2024-10,금융부문(전체),11.35,11.53,13.61,126686,5.04,138331,,,5.88,558047
2024-10,금융부문(해외주식),26.52,26.52,23.89,59907,11.96,85556,,,11.04,167506
2024-10,금융부문(해외채권),10.32,10.87,8.84,6087,3.47,6526,,,4.02,19886
2024-10,기금 전체,11.34,11.52,13.59,126715,5.04,138378,,,5.92,577999
2024-10,기타부문,1.36,1.64,2.09,28,1.22,50,,,1.48,269
2024-10,복지부문,2.08,2.09,0.94,2,-0.46,-3,,,5.74,601
2024-11,금융부문(국내주식),-4.94,-4.94,22.12,27438,0.21,957,,,6.53,105064
2024-11,금융부문(국내채권),5.96,6.18,7.4,24492,0.15,1519,,,3.61,175606
2024-11,금융부문(단기자금),5.14,5.14,4.23,181,1.63,197,,,3.18,1767
2024-11,금융부문(대체투자),9.32,9.32,5.8,8833,11.39,42870,,,9.28,88122
2024-11,금융부문(전체),12.58,12.67,13.61,126686,5.04,138331,,,5.88,558047
2024-11,금융부문(해외주식),29.72,29.72,23.89,59907,11.96,85556,,,11.04,167506
2024-11,금융부문(해외채권),12.03,12.3,8.84,6087,3.47,6526,,,4.02,19886
2024-11,기금 전체,12.57,12.66,13.59,126715,5.04,138378,,,5.92,577999
2024-11,기타부문,1.49,1.63,2.09,28,1.22,50,,,1.48,269
2024-11,복지부문,2.28,2.29,0.94,2,-0.46,-3,,,5.74,601
2024-12,금융부문(국내주식),-6.94,-6.94,22.12,27438,-4.64,-20258,,,5.4,94824
2024-12,금융부문(국내채권),5.27,5.27,7.4,24492,2.35,23475,,,3.71,193217
2024-12,금융부문(단기자금),6.43,6.43,4.23,181,3.46,413,,,3.4,2030
2024-12,금융부문(대체투자),17.09,17.09,5.8,8833,10.99,49987,,,10.48,117657
