종목명,섹터,변동일자,매수매도,기준주가,90일후_주가,180일후_주가,270일후_주가,360일후_주가
LG유플러스,통신서비스,2025-02-28,매수,9754.36,12325.56,14510.81,14812.92,16859.44
두산테스나,기타,2025-02-27,매도,30674.07,23114.0,36293.48,41385.55,64399.71
와이지엔터테인먼트,기타,2025-02-26,매수,58825.11,80623.25,103217.67,60218.6,73100.0
STX엔진,산업재,2025-02-26,매도,29150.0,24950.0,34850.0,30750.0,35450.0
현대코퍼레이션,기타,2025-02-26,매도,23881.4,23590.76,21653.12,20732.74,28250.0
대주전자재료,정보기술,2025-02-25,매수,114828.36,71493.13,71992.38,68297.91,92400.0
두산밥캣,산업재,2025-02-25,매수,47014.51,45173.23,56025.79,56508.81,64595.58
경동나비엔,기타,2025-02-24,매수,79903.43,79015.62,76253.52,55735.11,67400.0
SBS,통신서비스,2025-02-21,매수,22630.89,22532.92,21161.35,19250.95,18486.79
하나머티리얼즈,정보기술,2025-02-21,매수,33762.52,24527.47,23584.11,40763.27,61300.0
현대백화점,기타,2025-02-20,매수,53261.45,64485.05,69842.57,91502.09,103846.06
한솔케미칼,소재,2025-02-19,매수,114171.83,123849.55,167642.77,234323.36,313587.06
엠로,정보기술,2025-02-19,매수,73900.0,49800.0,43500.0,40150.0,41250.0
이녹스첨단소재,정보기술,2025-02-18,매수,29386.9,22312.28,24686.97,23648.04,37302.56
대한전선,기타,2025-02-18,매수,13630.0,12270.0,16340.0,24750.0,31550.0
현대건설,산업재,2025-02-14,매수,33814.54,43221.92,63564.57,62072.44,113600.53
대덕전자,정보기술,2025-02-12,매수,17740.9,15342.03,23614.6,47030.33,60552.79
하나투어,기타,2025-02-12,매수,55792.0,49452.0,53256.0,45550.46,47900.0
진시스템,헬스케어,2025-02-12,매도,10080.0,10110.0,5300.0,5850.0,5270.0
피엔에이치테크,소재,2025-02-12,매도,7295.21,5770.98,5358.77,4754.83,5100.0
BNK금융지주,금융,2025-02-10,매수,10621.08,10184.78,14024.62,14325.82,17502.93
비에이치아이,산업재,2025-02-07,매도,19830.0,30600.0,44050.0,48650.0,69600.0
올릭스,기타,2025-02-07,매도,20550.0,47450.0,51500.0,122000.0,130800.0
아모레퍼시픽,소재,2025-02-06,매수,123895.21,122241.2,126107.7,119167.81,137013.25
더존비즈온,정보기술,2025-02-05,매수,73794.51,64650.71,68828.14,88123.89,91008.31
씨에스윈드,소재,2025-02-05,매도,39451.64,37742.72,45066.67,44627.23,39200.0
한화,소재,2025-02-04,매수,29852.56,48269.06,88914.08,96835.16,113370.41
동아에스티,기타,2025-02-04,매도,45040.59,43366.76,43132.34,46226.62,51383.75
두산에너빌리티,산업재,2025-02-03,매수,23350.0,27300.0,64300.0,88700.0,94000.0
제주항공,산업재,2025-02-03,매도,7130.0,7080.0,6760.0,5710.0,5510.0
삼화전기,정보기술,2025-02-03,매도,32389.0,27881.0,25578.0,34398.0,51500.0
SNT모티브,정보기술,2025-01-31,매수,23310.05,25886.0,32859.27,32865.69,36117.46
씨앤씨인터내셔널,소재,2025-01-23,매도,37250.0,32200.0,45600.0,38500.0,29900.0
에스티아이,산업재,2025-01-22,매수,22537.5,19303.64,19194.19,22836.01,30000.0
이노션,기타,2025-01-22,매도,16545.63,16696.62,19380.85,16838.64,17484.82
DB손해보험,금융,2025-01-21,매도,83436.91,82546.95,131460.09,127424.03,118967.54
삼양홀딩스,금융,2025-01-21,매도,67600.38,61017.96,97273.48,107199.36,58700.0
LX인터내셔널,기타,2025-01-21,매도,22589.02,24495.3,32021.26,28665.74,34178.38
한화엔진,산업재,2025-01-21,매도,24250.0,24400.0,28950.0,46200.0,53000.0
롯데정밀화학,소재,2025-01-20,매수,38289.07,32578.47,42046.14,45639.0,43891.12
진에어,산업재,2025-01-20,매도,10040.0,8880.0,9190.0,7600.0,6750.0
풍산,소재,2025-01-17,매도,52544.71,53682.61,160949.67,124834.13,121693.66
호텔신라,기타,2025-01-15,매수,39100.0,39850.0,52300.0,50100.0,45550.0
LS에코에너지,금융,2025-01-13,매수,36001.1,30829.67,31177.75,40227.75,34807.69
하나머티리얼즈,정보기술,2025-01-13,매수,25470.84,28052.68,24726.08,42848.6,48900.0
SK이노베이션,에너지 / 유틸리티,2025-01-10,매수,122481.14,102200.0,116500.0,103000.0,102700.0
TCC스틸,소재,2025-01-10,매수,29608.04,20750.51,17068.17,15217.04,14060.0
신세계푸드,기타,2025-01-10,매도,32837.33,29303.41,41132.76,36027.98,46728.38
DL,소재,2025-01-09,매도,31250.0,28150.0,52700.0,36200.0,36450.0
두산로보틱스,산업재,2025-01-07,매수,65700.0,41600.0,61600.0,70300.0,80300.0
대웅,기타,2025-01-07,매수,21804.44,18157.16,22597.33,21408.0,21400.0
CJ제일제당,필수소비재,2024-09-30,매도,292302.25,245668.5,239922.98,244440.58,230756.56
넷마블,정보기술,2024-09-27,매도,60078.55,51091.2,40768.18,60167.53,65485.12
비에이치,정보기술,2024-09-27,매도,17848.28,17207.37,14794.2,12597.73,18871.97
이녹스첨단소재,정보기술,2024-09-27,매도,26605.21,20184.94,23697.52,23153.31,24934.34
클리오,소재,2024-09-27,매도,30255.38,16925.75,19182.52,16317.41,14374.62
엠로,정보기술,2024-09-26,매수,54400.0,64000.0,54600.0,58100.0,41900.0
자화전자,정보기술,2024-09-25,매수,17460.0,12300.0,13310.0,15030.0,21550.0
SK네트웍스,기타,2024-09-25,매도,4417.6,3889.44,3989.28,4373.71,4403.85
제주항공,산업재,2024-09-25,매도,8990.0,8370.0,7040.0,6980.0,6600.0
지아이이노베이션,기타,2024-09-23,매수,11229.91,7153.24,13818.18,24000.0,18430.0
JW중외제약,기타,2024-09-19,매수,26275.23,23297.05,21687.06,21833.92,21931.83
덕산네오룩스,정보기술,2024-09-19,매도,28100.0,28850.0,29000.0,33600.0,47050.0
이마트,기타,2024-09-12,매도,60354.09,61779.77,79458.29,88288.77,74645.92
STX엔진,산업재,2024-09-11,매수,18610.0,16560.0,27250.0,22700.0,47550.0
삼성카드,금융,2024-09-11,매수,37478.72,35604.78,38638.78,45253.38,48397.3
뷰노,정보기술,2024-09-10,매수,31750.0,23000.0,22550.0,20700.0,23250.0
에스앤에스텍,정보기술,2024-09-06,매도,23017.85,25344.38,30724.85,34260.45,53780.93
하나머티리얼즈,정보기술,2024-09-06,매도,29326.17,22645.5,27705.12,25172.93,26811.41
덴티움,헬스케어,2024-09-05,매도,71264.25,57755.37,61777.46,60492.49,54759.54
대한유화,소재,2024-09-05,매도,98245.16,73586.02,87824.38,80489.16,117760.0
코미코,산업재,2024-09-04,매도,55407.32,35241.75,41354.32,55961.58,79155.53
이수페타시스,정보기술,2024-09-04,매도,35344.51,26595.38,36438.16,38023.8,64570.6
코스맥스,소재,2024-09-04,매도,116378.63,138084.55,163426.2,213014.88,207603.42
한솔케미칼,소재,2024-09-02,매도,137591.69,95045.6,104511.12,131775.92,175370.97
하나투어,기타,2024-08-30,매수,46147.6,55638.95,54816.61,49256.92,51597.84
삼화전기,정보기술,2024-08-29,매수,40866.32,28818.47,39053.0,26362.0,24794.0
팬오션,산업재,2024-08-29,매도,3366.27,3292.08,3658.84,3519.41,3846.35
녹십자,기타,2024-08-28,매수,166347.58,138672.06,130391.72,128015.56,132866.89
