종목명,섹터,변동일자,매수매도,90일_수익률,90일_시장수익률,90일_초과수익률,180일_수익률,180일_시장수익률,180일_초과수익률,270일_수익률,270일_시장수익률,270일_초과수익률,360일_수익률,360일_시장수익률,360일_초과수익률
파미셀,정보기술,2022-08-05,매수,-0.24911037054563007,-0.026654141407290128,-0.22245622913833993,-0.2234875879771096,-0.015693787989532183,-0.2077937999875774,-0.33096089489843233,0.00899707389997782,-0.33995796879841017,-0.5046263318572364,0.04496547205894504,-0.5495918039161815
아세아시멘트,기타,2022-08-05,매수,-0.2403224315655717,-0.026654141407290128,-0.21366829015828157,-0.24622514632991976,-0.015693787989532183,-0.23053135834038757,-0.13229204908948455,0.00899707389997782,-0.14128912298946236,-0.14219925329188812,0.04496547205894504,-0.18716472535083317
한진,산업재,2022-08-04,매도,-0.22138837913955042,-0.02995017008627662,-0.1914382090532738,-0.14856738292726424,-0.014119939872805732,-0.1344474430544585,-0.23120068637417418,0.011252970056147869,-0.24245365643032205,-0.18718117441471444,0.052440019155251816,-0.23962119356996625
덴티움,헬스케어,2022-08-03,매수,-0.1506372384899083,-0.03642564906375151,-0.11421158942615678,0.4250193969660521,0.007698694488121967,0.4173207024779301,0.8225368830820304,0.016043385410121444,0.806493497671909,0.6202912457476956,0.057425542042386216,0.5628657037053093
DL,소재,2022-08-02,매수,-0.1128799470558896,-0.0373788463639999,-0.0755011006918897,-0.13517771028664635,0.01671562915428928,-0.15189333944093564,-0.29034577368894043,0.025134988757775187,-0.31548076244671563,-0.39624224806213254,0.06794901149681107,-0.4641912595589436
JB금융지주,금융,2022-08-02,매도,-0.0027584140035558005,-0.0373788463639999,0.0346204323604441,0.412814955073654,0.01671562915428928,0.39609932591936475,0.2499716104190072,0.025134988757775187,0.22483662166123203,0.30453259645818437,0.06794901149681107,0.2365835849613733
한세실업,기타,2022-08-02,매도,-0.061349703037313824,-0.0373788463639999,-0.023970856673313924,0.021472442630612446,0.01671562915428928,0.004756813476323167,0.053096886677041634,0.025134988757775187,0.027961897919266447,0.12330331804828522,0.06794901149681107,0.05535430655147415
LG생활건강,소재,2022-08-01,매수,-0.2956851581117697,-0.042336657502038945,-0.25334850060973074,-0.11566565193550916,0.01147921392343766,-0.12714486585894683,-0.25093184740902286,0.019855211094403098,-0.27078705850342594,-0.42703312385703285,0.06696705911025588,-0.49400018296728876
호텔신라,기타,2022-08-01,매도,-0.1100413009976338,-0.042336657502038945,-0.06770464349559485,0.10445266723273375,0.01147921392343766,0.09297345330929609,0.15960638815849332,0.019855211094403098,0.1397511770640902,0.01758561080244439,0.06696705911025588,-0.04938144830781149
포스코인터내셔널,기타,2022-07-28,매수,0.052763883034103065,-0.04108375992218843,0.0938476429562915,0.24414545390172146,0.0062415876062896485,0.2379038662954318,0.40391992201978494,0.027208485808230407,0.3767114362115545,3.1908054388317306,0.07105990195758018,3.1197455368741505
대웅제약,기타,2022-07-26,매수,-0.11811021399341433,-0.05990984555648595,-0.05820036843692838,-0.22116092799251583,0.02944933183480643,-0.25061025982732227,-0.4182420238474878,0.03670598343661,-0.45494800728409784,-0.4946504759841798,0.07909376895839565,-0.5737442449425755
효성티앤씨,소재,2022-07-26,매도,-0.12168478390142956,-0.05990984555648595,-0.06177493834494361,0.2534384104289904,0.02944933183480643,0.22398907859418396,0.20855828872373366,0.03670598343661,0.17185230528712367,0.09154932184918745,0.07909376895839565,0.012455552890791796
롯데관광개발,기타,2022-07-25,매도,-0.21929824561403508,-0.05628431385095791,-0.16301393176307716,0.22631578947368422,0.03341948424429644,0.19289630522938778,-0.0456140350877193,0.03832445924103099,-0.0839384943287503,-0.18947368421052632,0.0784918898089018,-0.2679655740194281
파크시스템스,기타,2022-07-22,매도,0.12704921679557346,-0.05999642328877679,0.18704564008435026,0.13185922752502577,0.0008859144398850841,0.13097331308514068,0.49783731177744733,0.05447241418111931,0.443364897596328,0.8915721935671279,0.09051711429795922,0.8010550792691686
이녹스첨단소재,정보기술,2022-07-21,매도,-0.12816904502579543,-0.07226163895346122,-0.055907406072334215,-0.12013631684596085,-0.005769605526757972,-0.11436671131920288,0.2083843807594562,0.056135746554060686,0.15224863420539553,0.35836098353752494,0.08326558010863283,0.2750954034288921
삼성카드,금융,2022-07-20,매수,0.003273369038860948,-0.06313349367639137,0.06640686271525233,0.08114634706330938,0.003523435391955721,0.07762291167135366,0.07760160124194661,0.0660074148947204,0.011594186347226212,0.026202883972538345,0.0933908301691253,-0.06718794619658697
테이팩스,기타,2022-07-15,매도,-0.026162829753125696,-0.04012906153045961,0.013966231777333912,-0.20604512446188472,0.0207680514268681,-0.22681317588875283,-0.14394814300558845,0.10507594818183323,-0.2490240911874217,-0.2459647391652116,0.127551532338594,-0.3735162715038056
솔루스첨단소재,정보기술,2022-07-15,매도,-0.1892857300518914,-0.04012906153045961,-0.14915666852143178,-0.1519444595769941,0.0207680514268681,-0.1727125110038622,0.09052792143263709,0.10507594818183323,-0.014548026749196141,-0.16866660530156877,0.127551532338594,-0.2962181376401628
DB하이텍,정보기술,2022-07-14,매도,-0.029171445010776467,-0.031162852258615047,0.00199140724783858,0.0488294077803956,0.033389040605965606,0.015440367174429995,0.7283352583373123,0.10729353170126478,0.6210417266360475,0.46522292850158814,0.1317561625710415,0.33346676593054664
인터로조,헬스케어,2022-07-13,매수,-0.10720560495741979,-0.04676615726148505,-0.06043944769593474,0.04304854361320933,0.024684244170179725,0.018364299443029607,0.22257500533684862,0.10430251163059878,0.11827249370624984,0.19744131275621396,0.12869906406876,0.06874224868745396
카카오페이,금융,2022-07-13,매수,-0.4874074074074074,-0.04676615726148505,-0.44064125014592237,0.045925925925925926,0.024684244170179725,0.0212416817557462,-0.10518518518518519,0.10430251163059878,-0.20948769681578397,-0.24444444444444444,0.12869906406876,-0.37314350851320444
한독,기타,2022-07-11,매도,-0.2000000470036468,-0.05457488650335613,-0.14542516050029067,-0.03855515708209317,0.019578966519663676,-0.05813412360175685,-0.10113440964646556,0.09460014901291981,-0.19573455865938538,-0.2183283552554425,0.10018072667479401,-0.3185090819302365
현대로템,정보기술,2022-07-08,매수,0.279792551392386,-0.06302199426906599,0.342814545661452,0.3808288753233215,0.00029777425429464323,0.3805311010690268,0.3626942137400199,0.06869279179617908,0.2940014219438408,0.9507775137329952,0.07491665800278954,0.8758608557302057
우리금융지주,금융,2022-07-07,매도,-0.030567735371438202,-0.060918381327808205,0.030350645956370003,0.17126480399458124,0.006820085826316235,0.164444718168265,0.06925153071210197,0.06689024460395537,0.002361286108146593,0.08939780816339153,0.08244116567323874,0.006956642490152792
심텍,정보기술,2022-07-05,매도,-0.07085554268453192,-0.04652014281587305,-0.024335399868658875,-0.1822526708965846,-0.022124220868561292,-0.16012845002802328,-0.12782694681487494,0.06346876348464141,-0.19129571029951636,-0.08700783449877664,0.09160126360375194,-0.17860909810252856
한화솔루션,소재,2022-07-01,매수,0.33856201620052856,-0.039125172085142434,0.377687188285671,0.11764697522262628,-0.03762437784602351,0.15527135306864978,0.1924963240264888,0.07240336757386424,0.12009295645262456,-0.0011367827872250174,0.11228327861908292,-0.11342006140630795
천보,소재,2022-07-01,매도,-0.10900241384730505,-0.039125172085142434,-0.06987724176216262,0.064985072791428,-0.03762437784602351,0.1026094506374515,0.23370523542230442,0.07240336757386424,0.1613018678484402,-0.06082360338997695,0.11228327861908292,-0.17310688200905988
화신,정보기술,2022-06-30,매수,-0.08261814378653852,-0.05284142235490674,-0.029776721431631778,-0.1735594665658138,-0.04585790161759499,-0.12770156494821883,0.3505776819636011,0.061827037813518726,0.2887506441500824,0.9693209135860861,0.099303856311371,0.8700170572747151
신세계인터내셔날,기타,2022-06-30,매도,-0.08789386100392266,-0.05284142235490674,-0.035052438649015916,-0.18000965095285013,-0.04585790161759499,-0.13415174933525514,-0.267926105459169,0.061827037813518726,-0.32975314327268773,-0.424146965662322,0.099303856311371,-0.523450821973693
한세실업,기타,2022-06-30,매도,-0.1858406678314186,-0.05284142235490674,-0.13299924547651185,-0.10285212610132514,-0.04585790161759499,-0.056994224483730156,-0.05540976705585394,0.061827037813518726,-0.11723680486937266,0.30466581887919725,0.099303856311371,0.20536196256782624
두산퓨얼셀,에너지 / 유틸리티,2022-06-30,매도,-0.016638935108153077,-0.05284142235490674,0.036202487246753665,-0.033277870216306155,-0.04585790161759499,0.012580031401288834,0.11647254575707154,0.061827037813518726,0.054645507943552815,-0.04492512479201331,0.099303856311371,-0.1442289811033843
