종목명,섹터,변동일자,매수매도,90일_종목수익률,90일_시장수익률,90일_초과수익률,180일_종목수익률,180일_시장수익률,180일_초과수익률,270일_종목수익률,270일_시장수익률,270일_초과수익률,360일_종목수익률,360일_시장수익률,360일_초과수익률
한화투자증권,금융,2025-06-17,매수,-0.07761194029850746,0.1549028919777674,-0.23251483227627487,-0.29776119402985074,0.3864996848423703,-0.6842608788722211,0.10746268656716418,0.8811137870064031,-0.7736511004392389,,,
에스티아이,산업재,2025-06-17,매도,0.002493683087214749,0.1549028919777674,-0.15240920889055265,0.548628825172014,0.3864996848423703,0.16212914032964365,0.6365578451771167,0.8811137870064031,-0.24455594182928642,,,
삼성SDI,기타,2025-06-17,매도,0.19019492025989368,0.1549028919777674,0.03529202828212627,0.789722386296515,0.3864996848423703,0.40322270145414474,1.262256349675133,0.8811137870064031,0.3811425626687298,,,
NH투자증권,금융,2025-06-16,매수,0.1473236688577634,0.15632959358198117,-0.009005924724217768,0.11022779290472443,0.3882124880038716,-0.27798469509914714,0.6799149708297505,0.8621898685440571,-0.1822748977143066,,,
비에이치,정보기술,2025-06-16,매도,0.45967729389966433,0.15632959358198117,0.30334770031768316,0.49838745201042434,0.3882124880038716,0.11017496400655274,0.5122498790281973,0.8621898685440571,-0.3499399895158598,,,
이녹스첨단소재,정보기술,2025-06-13,매수,0.08277419489038354,0.15531566001178776,-0.07254146512140422,0.08948566498359882,0.4285121475690186,-0.3390264825854198,0.5167786752330384,0.9113353807288642,-0.3945567054958258,,,
대한해운,산업재,2025-06-13,매도,0.01893095768374165,0.15531566001178776,-0.13638470232804611,0.026169265033407572,0.4285121475690186,-0.40234288253561107,0.21937639198218262,0.9113353807288642,-0.6919589887466816,,,
SBS,통신서비스,2025-06-12,매수,-0.3065066918912532,0.1351013503429597,-0.4416080422342129,-0.33150685793447127,0.41900931261492574,-0.750516170549397,-0.44486298987555845,0.798567160095993,-1.2434301499715514,,,
대신증권,금융,2025-06-12,매수,0.1844266105055347,0.1351013503429597,0.04932526016257499,0.12704920803676606,0.41900931261492574,-0.2919601045781597,0.549180570321704,0.798567160095993,-0.24938658977428907,,,
시프트업,정보기술,2025-06-12,매도,-0.21347248576850095,0.1351013503429597,-0.34857383611146064,-0.25426944971537,0.41900931261492574,-0.6732787623302958,-0.4174573055028463,0.798567160095993,-1.2160244655988395,,,
브이티,소재,2025-06-11,매수,-0.2842465753424658,0.1214327993499079,-0.4056793746923737,-0.5554794520547945,0.42923731418441696,-0.9847167662392116,-0.6687214611872146,0.8066039843335598,-1.4753254455207745,,,
대주전자재료,정보기술,2025-06-10,매수,-0.03516176323931026,0.12108570378313604,-0.1562474670224463,0.07594936352260226,0.44675033736860814,-0.37080097384600585,0.6339436582420906,0.8287410340371218,-0.1947973757950312,,,
엘앤에프,기타,2025-06-10,매도,0.250501002004008,0.12108570378313604,0.12941529822087194,1.6452905811623246,0.44675033736860814,1.1985402437937165,1.2645290581162325,0.8287410340371218,0.43578802407911066,,,
현대오토에버,정보기술,2025-06-09,매수,0.14955827257143162,0.12739823790820975,0.02216003466322186,1.0530253951513309,0.45489660205139093,0.5981287930999399,1.7804216500580379,0.9556442146921229,0.824777435365915,,,
현대위아,정보기술,2025-06-09,매수,0.18586084766065963,0.12739823790820975,0.05846260975244988,0.5438995670586513,0.45489660205139093,0.08900296500726035,1.082097855539965,0.9556442146921229,0.12645364084784205,,,
와이지엔터테인먼트,기타,2025-06-05,매수,0.14530893579610804,0.13241936188228726,0.012889573913820784,-0.28146442698924096,0.420646810075605,-0.7021112370648459,-0.22178075874191946,1.0596753456303816,-1.281456104372301,,,
롯데관광개발,기타,2025-06-05,매수,0.1894576012223071,0.13241936188228726,0.057038239340019836,0.6004583651642476,0.420646810075605,0.17981155508864255,0.6768525592055004,1.0596753456303816,-0.3828227864248812,,,
HL홀딩스,금융,2025-06-04,매수,-0.05369921696601117,0.1449055149448502,-0.19860473191086137,0.1658711643282685,0.41486696916240484,-0.24899580483413633,0.11933159325780243,1.090308344231891,-0.9709767509740886,,,
SK케미칼,기타,2025-06-02,매수,-0.007830674603181398,0.16449236773903095,-0.17232304234221235,0.22100005834484507,0.45254306633362823,-0.23154300798878316,0.1748923953121217,1.313523288732925,-1.1386308934208031,,,
세아제강,소재,2025-06-02,매수,-0.13364051098642762,0.16449236773903095,-0.29813287872545857,-0.22119813678304473,0.45254306633362823,-0.673741203116673,-0.12574055060309178,1.313523288732925,-1.4392638393360166,,,
현대코퍼레이션,기타,2025-06-02,매도,-0.18216339449397534,0.16449236773903095,-0.3466557622330063,-0.1707780354428794,0.45254306633362823,-0.6233211017765077,0.08114883815671951,1.313523288732925,-1.2323744505762053,,,
